Batch,CREATED_DATE,PART_NUM,REEL_ID,LOT_CODE,DATE_CODE,Posting Date,Date Delta,VENDOR_CODE,MFG_PN
3,Mar-25,PLIC0320,7002802690-2025-0001-0007,GK423BE3 V5 GK,2423,3/2/2025,43,0000503995,STMICROELECTRONICS
3,Mar-25,PLASM4441_R09,7002862476-2025-0001-0003,39Y1,2431/2510,7/3/2025,12,0000500088,STMICROELECTRONICS
3,Mar-25,PLCAP0277,7002809200-2025-0001-0003,32N3750251,2443,5/2/2025,42,0000520835,YAGEO
3,Mar-25,PLDIO0056_MC,7002845541-2025-0001-0001,5122DS02U,22.01.2025,26/2/2025,21,0000513002,PANJIT INTERNATIONAL
3,Mar-25,PLIC0335,7002830798-2025-0001-0008,4510313CSZ,2452,18/2/2025,29,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC.000155,7002839951-2025-0001-0020,5032979CD5,2501,24/2/2025,22,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC0320,7002845437-2025-0001-0007,GK444E27 V5 GK,2444,26/2/2025,20,0000514099,STMICROELECTRONICS
3,Mar-25,PLASM4441_R09,7002868121-2025-0001-0005,39Y4,2430/2510,10/3/2025,9,0000500088,STMICROELECTRONICS
3,Mar-25,PLCAP0277,7002809200-2025-0001-0004,32N3750251,2443,5/2/2025,42,0000520835,YAGEO
3,Mar-25,PLDIO0056_MC,7002845541-2025-0001-0001,5122DS02U,22.01.2025,26/2/2025,21,0000513002,PANJIT INTERNATIONAL
3,Mar-25,PLIC0335,7002848158-2025-0001-0002,5030631CSZ,2504,27/2/2025,20,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC.000155,7002839951-2025-0001-0020,5032979CD5,2501,24/2/2025,22,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC0320,7002845437-2025-0001-0007,GK444E27 V5 GK,2444,26/2/2025,20,0000514099,STMICROELECTRONICS
3,Mar-25,PLASM4441_R09,7002868121-2025-0001-0005,39Y4,2430/2510,10/3/2025,9,0000500088,STMICROELECTRONICS
3,Mar-25,PLCAP0277,7002809200-2025-0001-0004,32N3750251,2443,5/2/2025,42,0000520835,YAGEO
3,Mar-25,PLDIO0056_MC,7002845541-2025-0001-0001,5122DS02U,22.01.2025,26/2/2025,21,0000513002,PANJIT INTERNATIONAL
3,Mar-25,PLIC0335,7002848158-2025-0001-0002,5030631CSZ,2504,27/2/2025,20,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLDIO0056_MC,7002845541-2025-0001-0012,5122DS05U,22.01.2025,26/2/2025,21,0000513002,PANJIT INTERNATIONAL
3,Mar-25,PLIC.000155,7002839951-2025-0001-0015,5032979CD5,2501,24/2/2025,22,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC0320,7002802690-2025-0001-0007,GK423BE3 V5 GK,2423,3/2/2025,43,0000503995,STMICROELECTRONICS
3,Mar-25,PLASM4441_R09,7002862476-2025-0001-0003,39Y1,2431/2510,7/3/2025,12,0000500088,STMICROELECTRONICS
3,Mar-25,PLCAP0277,7002809200-2025-0001-0003,32N3750251,2443,5/2/2025,42,0000520835,YAGEO
3,Mar-25,PLDIO0056_MC,7002845541-2025-0001-0001,5122DS02U,22.01.2025,26/2/2025,21,0000513002,PANJIT INTERNATIONAL
3,Mar-25,PLIC0335,7002830798-2025-0001-0008,4510313CSZ,2452,18/2/2025,29,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC.000155,7002839951-2025-0001-0015,5032979CD5,2501,24/2/2025,22,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC0320,7002802690-2025-0001-0007,GK423BE3 V5 GK,2423,3/2/2025,43,0000503995,STMICROELECTRONICS
3,Mar-25,PLASM4441_R09,7002868121-2025-0001-0005,39Y4,2430/2510,10/3/2025,9,0000500088,STMICROELECTRONICS
3,Mar-25,PLCAP0277,7002809200-2025-0001-0004,32N3750251,2443,5/2/2025,42,0000520835,YAGEO
3,Mar-25,PLDIO0056_MC,7002845541-2025-0001-0001,5122DS02U,22.01.2025,26/2/2025,21,0000513002,PANJIT INTERNATIONAL
3,Mar-25,PLIC0335,7002848158-2025-0001-0002,5030631CSZ,2504,27/2/2025,20,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC.000155,7002839951-2025-0001-0015,5032979CD5,2501,24/2/2025,22,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC0320,7002802690-2025-0001-0007,GK423BE3 V5 GK,2423,3/2/2025,43,0000503995,STMICROELECTRONICS
3,Mar-25,PLASM4441_R09,7002862476-2025-0001-0003,39Y1,2431/2510,7/3/2025,12,0000500088,STMICROELECTRONICS
3,Mar-25,PLCAP0277,7002809200-2025-0001-0003,32N3750251,2443,5/2/2025,42,0000520835,YAGEO
3,Mar-25,PLDIO0056_MC,7002845541-2025-0001-0001,5122DS02U,22.01.2025,26/2/2025,21,0000513002,PANJIT INTERNATIONAL
3,Mar-25,PLIC0335,7002830798-2025-0001-0008,4510313CSZ,2452,18/2/2025,29,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC.000155,7002839951-2025-0001-0002,5032979CD5,2501,24/2/2025,22,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC0320,7002845437-2025-0001-0001,GK444E29 V5 GK,2444,26/2/2025,20,0000514099,STMICROELECTRONICS
3,Mar-25,PLASM4441_R09,7002862476-2025-0001-0003,39Y1,2431/2510,7/3/2025,12,0000500088,STMICROELECTRONICS
3,Mar-25,PLCAP0277,7002809200-2025-0001-0003,32N3750251,2443,5/2/2025,42,0000520835,YAGEO
3,Mar-25,PLDIO0056_MC,7002845541-2025-0001-0001,5122DS02U,22.01.2025,26/2/2025,21,0000513002,PANJIT INTERNATIONAL
3,Mar-25,PLIC0335,7002830798-2025-0001-0008,4510313CSZ,2452,18/2/2025,29,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC.000155,7002839951-2025-0001-0002,5032979CD5,2501,24/2/2025,22,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC0320,7002845437-2025-0001-0001,GK444E29 V5 GK,2444,26/2/2025,20,0000514099,STMICROELECTRONICS
3,Mar-25,PLASM4441_R09,7002868121-2025-0001-0005,39Y4,2430/2510,10/3/2025,9,0000500088,STMICROELECTRONICS
3,Mar-25,PLCAP0277,7002809200-2025-0001-0004,32N3750251,2443,5/2/2025,42,0000520835,YAGEO
3,Mar-25,PLDIO0056_MC,7002845541-2025-0001-0001,5122DS02U,22.01.2025,26/2/2025,21,0000513002,PANJIT INTERNATIONAL
3,Mar-25,PLIC0335,7002848158-2025-0001-0002,5030631CSZ,2504,27/2/2025,20,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC.000155,7002839951-2025-0001-0015,5032979CD5,2501,24/2/2025,22,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC0320,7002802690-2025-0001-0007,GK423BE3 V5 GK,2423,3/2/2025,43,0000503995,STMICROELECTRONICS
3,Mar-25,PLASM4441_R09,7002845759-2025-0001-0002,39T5,2431/2508,27/2/2025,20,0000500088,STMICROELECTRONICS
3,Mar-25,PLCAP0277,7002809200-2025-0001-0002,32N3750251,2443,5/2/2025,42,0000520835,YAGEO
3,Mar-25,PLDIO0056_MC,7002832843-2025-0002-0001,5122DS00U,22.01.2025,19/2/2025,28,0000513002,PANJIT INTERNATIONAL
3,Mar-25,PLIC0335,7002840002-2025-0001-0003,4510313CSZ,2452,24/2/2025,23,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC.000155,7002827770-2025-0001-0011,4465138CDA,2438,17/2/2025,29,0000521179,TEXAS INSTRUMENTS
3,Mar-25,PLIC0320,7002802688-2025-0001-0008,GK423BE3 V5 GK,2423,3/2/2025,43,0000503995,STMICROELECTRONICS
3,Mar-25,PLASM4441_R09,7002868121-2025-0001-0005,39Y4,2430/2510,10/3/2025,9,0000500088,STMICROELECTRONICS
3,Mar-25,PLCAP0277,7002809200-2025-0001-0004,32N3750251,2443,5/2/2025,42,0000520835,YAGEO
3,Mar-25,PLDIO0056_MC,7002845541-2025-0001-0001,5122DS02U,22.01.2025,26/2/2025,21,0000513002,PANJIT INTERNATIONAL
3,Mar-25,PLIC0335,7002848158-2025-0001-0002,5030631CSZ,2504,27/2/2025,20,0000501190,TEXAS INSTRUMENTS
3,Mar-25,PLIC.000155,7002827770-2025-0001-0011,4465138CDA,2438,17/2/2025,29,0000521179,TEXAS INSTRUMENTS
3,Mar-25,PLIC0320,7002802688-2025-0001-0008,GK423BE3 V5 GK,2423,3/2/2025,43,0000503995,STMICROELECTRONICS
3,Mar-25,PLASM4441_R09,7002868121-2025-0001-0005,39Y4,2430/2510,10/3/2025,9,0000500088,STMICROELECTRONICS
3,Mar-25,PLCAP0277,7002809200-2025-0001-0004,32N3750251,2443,5/2/2025,42,0000520835,YAGEO
3,Mar-25,PLDIO0056_MC,7002845541-2025-0001-0001,5122DS02U,22.01.2025,26/2/2025,21,0000513002,PANJIT INTERNATIONAL
3,Mar-25,PLIC0335,7002848158-2025-0001-0002,5030631CSZ,2504,27/2/2025,20,0000501190,TEXAS INSTRUMENTS
